Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather Condition
3/26/2012 4:00,-1.1,-10.4,49,22,25.0,100.74,Clear
3/26/2012 5:00,-1.9,-10.9,50,20,25.0,100.86,Clear
3/26/2012 6:00,-3.8,-13.4,47,32,24.1,101.03,Clear
3/26/2012 16:00,1.3,-15.7,27,30,48.3,101.29,Clear
3/26/2012 17:00,1.2,-16.3,26,32,48.3,101.34,Clear
3/26/2012 18:00,0.1,-17.3,26,24,48.3,101.43,Clear
3/26/2012 19:00,-0.7,-18.0,26,28,25.0,101.56,Clear
3/26/2012 20:00,-1.4,-18.7,25,28,25.0,101.68,Clear
3/26/2012 21:00,-2.3,-18.4,28,24,25.0,101.79,Clear
3/26/2012 22:00,-2.9,-17.8,31,28,25.0,101.84,Clear
3/26/2012 23:00,-3.6,-17.4,33,26,25.0,101.9,Clear
3/27/2012 0:00,-4.3,-17.6,35,22,25.0,101.94,Clear
3/27/2012 1:00,-5.0,-17.7,36,19,25.0,101.96,Clear
3/27/2012 2:00,-5.4,-16.8,40,17,25.0,102.02,Clear
3/27/2012 3:00,-6.0,-17.0,41,17,25.0,102.06,Clear
3/27/2012 4:00,-6.5,-17.3,42,13,25.0,102.14,Clear
3/27/2012 5:00,-7.4,-16.4,49,11,25.0,102.24,Clear
3/27/2012 6:00,-7.5,-16.4,49,9,48.3,102.31,Clear
3/27/2012 7:00,-6.1,-17.7,39,9,48.3,102.39,Clear
3/27/2012 8:00,-5.1,-18.7,34,13,48.3,102.41,Clear
3/27/2012 9:00,-4.3,-20.3,27,9,48.3,102.44,Clear
3/27/2012 10:00,-2.5,-21.7,21,0,48.3,102.48,Clear
3/27/2012 11:00,-1.6,-20.6,22,6,48.3,102.43,Clear
3/27/2012 12:00,0.2,-16.7,27,9,48.3,102.31,Clear
3/30/2012 2:00,-2.2,-9.7,56,15,25.0,101.22,Clear
3/30/2012 5:00,-5.1,-10.4,66,11,24.1,101.32,Clear
3/30/2012 6:00,-4.8,-10.8,63,13,48.3,101.39,Clear
3/30/2012 7:00,-4.3,-10.9,60,15,48.3,101.52,Clear
3/30/2012 8:00,-3.0,-10.4,57,11,48.3,101.56,Clear
3/30/2012 9:00,-2.0,-10.1,54,13,48.3,101.63,Clear
3/30/2012 10:00,-0.8,-9.5,52,9,48.3,101.62,Clear
3/31/2012 11:00,4.6,-9.7,35,7,48.3,101.24,Clear
3/31/2012 12:00,6.4,-7.1,37,11,48.3,101.16,Clear
3/31/2012 13:00,6.5,-9.7,30,9,48.3,101.08,Clear
3/31/2012 19:00,5.9,-8.0,36,4,25.0,100.88,Clear
